Geneid;B2;S2;B3;S3;B4;S4;B6;S6;B7;S7
ENSG00000272420;0;1;0;0;0;0;0;1;1;0
ENSG00000132881;32;51;33;32;57;107;56;39;35;40
ENSG00000273274;0;0;0;0;0;0;1;0;0;1
ENSG00000236648;0;0;0;0;0;0;0;0;0;0
ENSG00000232273;0;0;0;0;0;0;0;0;0;0
ENSG00000009709;0;0;0;0;0;1;0;0;0;0
ENSG00000287396;0;0;0;0;0;0;0;0;0;0
ENSG00000130940;1;2;1;0;2;1;4;0;1;2
ENSG00000163879;43;76;42;34;35;86;65;52;59;44
ENSG00000227527;1;1;1;4;2;1;3;2;1;1
ENSG00000116954;630;572;619;596;449;1013;369;437;612;453
ENSG00000228589;2;5;5;3;2;26;7;8;7;0
ENSG00000163873;0;0;0;0;0;0;0;0;0;0
ENSG00000117215;0;0;0;0;0;0;0;0;0;0
ENSG00000230163;0;0;0;0;0;0;0;0;0;0
ENSG00000227538;0;0;0;0;0;0;0;0;0;0
ENSG00000044012;0;0;0;0;0;0;0;0;0;0
ENSG00000179051;1489;1425;1090;1098;1290;3113;1751;1229;1469;1242
ENSG00000215895;0;0;1;2;0;1;0;4;1;0
ENSG00000284650;0;0;0;0;0;0;0;0;0;0
ENSG00000236948;0;0;0;0;0;0;0;0;0;0
ENSG00000126067;920;1039;921;999;860;1587;1434;975;985;881
ENSG00000274944;0;0;0;0;0;0;0;0;0;0
ENSG00000272078;0;0;1;0;0;0;0;0;0;1
ENSG00000230451;0;0;0;0;0;0;0;0;0;0
ENSG00000231606;0;0;0;0;0;0;0;0;0;0
ENSG00000284632;0;0;0;0;0;0;0;0;0;0
ENSG00000054118;1400;1371;1197;1263;999;2868;2071;1408;1305;1601
ENSG00000254553;0;0;0;0;0;0;0;0;0;0
ENSG00000284653;0;0;0;0;0;0;0;0;0;0
ENSG00000237749;0;0;1;1;0;3;0;0;0;0
ENSG00000276747;0;0;0;0;0;0;0;0;0;0
ENSG00000284705;0;0;0;0;0;0;0;0;0;0
ENSG00000228776;0;0;0;0;0;0;0;0;0;0
ENSG00000159339;0;0;0;0;0;0;0;0;0;0
ENSG00000261781;0;0;0;0;0;0;0;0;0;0
ENSG00000284743;0;0;0;0;0;0;0;0;0;0
ENSG00000158315;1;1;5;1;5;4;9;5;1;2
ENSG00000186973;2;0;0;0;0;0;0;2;1;0
ENSG00000146463;823;786;639;611;522;1390;961;945;777;881
ENSG00000271741;0;0;0;0;0;0;1;0;0;0
ENSG00000142686;361;386;355;330;317;644;474;488;463;386
ENSG00000224751;0;0;0;0;0;0;0;0;0;0
ENSG00000117148;0;0;0;0;0;0;0;0;0;0
ENSG00000230585;1;1;0;0;0;3;0;0;0;0
ENSG00000117000;315;277;276;222;250;558;505;377;391;284
ENSG00000284989;0;0;0;0;0;0;0;0;0;0
ENSG00000231630;0;0;0;0;0;0;0;0;0;0
ENSG00000092853;2;4;3;5;2;4;11;14;3;6
ENSG00000255811;0;0;0;0;0;0;0;0;0;0
ENSG00000134697;602;618;497;530;458;1197;608;713;709;658
ENSG00000187513;0;0;0;0;0;0;0;0;0;0
ENSG00000230138;0;0;0;0;0;0;0;0;0;0
ENSG00000223390;0;0;1;1;0;6;0;1;0;0
ENSG00000284720;0;0;0;0;0;0;0;0;0;0
ENSG00000225671;0;0;0;0;0;0;0;0;0;0
ENSG00000116151;24;28;28;17;27;69;70;19;21;27
ENSG00000006555;0;0;0;0;0;0;0;0;0;0
ENSG00000236111;0;0;0;0;0;1;0;0;0;0
ENSG00000066056;0;0;0;3;3;1;0;0;1;2
ENSG00000214114;134;142;90;73;120;227;186;159;135;142
ENSG00000116544;0;2;0;1;0;2;2;1;0;1
ENSG00000231900;0;0;0;0;0;0;0;0;0;0
ENSG00000236723;0;0;2;1;0;0;3;0;0;1
ENSG00000232467;0;0;0;0;0;0;0;0;0;0
ENSG00000117016;9;3;35;15;1;5;0;1;9;7
ENSG00000169213;435;446;155;148;150;507;899;449;262;471
ENSG00000163866;455;399;328;396;344;784;374;440;496;471
ENSG00000237130;0;0;0;0;0;0;0;0;0;0
ENSG00000232335;0;0;0;0;0;0;0;0;0;0
ENSG00000260971;0;0;0;0;0;0;0;0;0;1
ENSG00000284696;0;0;0;0;0;0;0;0;0;0
ENSG00000238242;0;0;0;0;0;0;0;0;0;0
ENSG00000285839;0;0;0;0;0;0;0;0;0;0
ENSG00000232762;0;0;0;0;0;0;3;0;0;0
ENSG00000162384;528;533;522;456;393;885;402;648;586;538
ENSG00000162391;0;0;0;0;1;0;0;0;0;0
ENSG00000117859;2223;2015;1617;1448;1237;2804;1631;1754;2134;1267
ENSG00000228121;0;0;0;0;0;0;0;0;0;0
ENSG00000253313;0;0;0;0;0;0;0;0;0;0
ENSG00000162396;68;88;40;44;69;89;63;84;70;64
ENSG00000284686;0;1;1;3;0;0;0;0;1;0
ENSG00000162378;606;496;539;564;476;1240;735;661;541;809
ENSG00000233079;0;0;0;0;0;0;0;0;0;1
ENSG00000259818;0;0;0;0;2;0;1;0;0;0
ENSG00000229444;0;0;0;0;0;0;0;0;0;0
ENSG00000240563;0;0;0;0;0;0;0;0;0;0
ENSG00000234318;0;0;0;0;0;0;0;0;0;0
ENSG00000284773;12;14;4;6;7;17;18;4;3;3
ENSG00000234481;0;0;0;0;0;0;0;0;0;0
ENSG00000117862;282;288;277;255;276;595;174;290;426;265
ENSG00000235612;0;0;0;0;0;0;0;1;0;0
ENSG00000228369;0;0;0;0;0;1;0;2;0;0
ENSG00000227485;0;0;0;0;0;0;0;0;0;0
ENSG00000224609;7;3;4;4;5;3;3;5;8;4
ENSG00000235545;1;0;1;0;3;3;3;2;0;3
ENSG00000236646;0;0;0;0;0;0;0;0;0;0
ENSG00000232198;0;0;0;0;0;0;0;0;0;0
ENSG00000238063;0;0;0;0;0;0;0;0;0;0
ENSG00000227104;0;0;0;0;0;0;0;0;0;0
ENSG00000243725;7;5;5;9;7;18;10;23;16;14
ENSG00000171872;0;0;0;0;0;0;3;3;0;1
ENSG00000162407;2685;1692;1552;963;160;750;604;760;1104;961
ENSG00000285079;0;0;0;0;0;0;0;0;0;0
ENSG00000163877;252;265;200;259;225;506;322;300;233;232
ENSG00000228929;4;1;1;8;4;4;1;2;6;2
ENSG00000224570;0;0;0;0;0;0;0;0;0;0
ENSG00000224980;0;0;0;0;0;0;0;0;0;0
ENSG00000278967;0;0;0;0;0;0;0;0;0;0
ENSG00000157184;169;145;120;109;111;256;168;153;148;235
ENSG00000198815;835;703;724;662;630;1495;895;922;900;850
ENSG00000134744;387;371;290;259;280;639;671;522;363;442
ENSG00000233910;0;0;0;0;0;0;0;0;0;0
ENSG00000287703;0;0;0;0;0;0;0;0;0;0
ENSG00000283039;1;0;0;0;0;0;0;0;0;0
ENSG00000229032;0;0;0;0;0;0;0;0;0;0
ENSG00000229294;0;0;0;0;0;0;0;0;0;0
ENSG00000234088;0;0;0;0;0;0;0;0;0;0
ENSG00000236973;0;0;0;0;0;0;0;0;0;0
ENSG00000277397;0;0;0;0;0;0;0;0;0;0
ENSG00000235446;0;0;0;0;0;0;0;0;0;0
ENSG00000162385;215;248;151;163;159;324;210;240;297;246
ENSG00000234264;0;0;0;0;0;0;0;0;0;0
ENSG00000223883;1;0;0;0;1;1;0;0;0;0
ENSG00000237227;0;0;0;0;0;0;0;0;0;0
ENSG00000275350;0;0;0;0;0;0;0;0;0;0
ENSG00000116652;9;10;2;0;2;8;4;7;1;3
ENSG00000123080;28;25;36;26;19;50;27;36;33;38
ENSG00000285778;0;0;0;0;0;0;0;0;1;0
ENSG00000233407;0;0;0;0;0;0;0;0;0;0
ENSG00000225675;0;0;1;0;0;0;0;1;1;0
ENSG00000237622;0;0;0;0;0;0;0;0;0;0
ENSG00000162598;0;0;0;0;0;0;0;0;0;0
ENSG00000280317;0;0;0;0;0;0;0;0;0;0
ENSG00000162415;4;2;1;1;4;5;30;15;5;10
ENSG00000162600;173;175;171;131;140;302;147;197;204;209
ENSG00000116704;504;564;372;458;517;1166;1103;846;614;619
ENSG00000157193;81;85;161;155;71;204;234;164;122;150
ENSG00000116205;105;79;102;83;98;186;186;95;110;114
ENSG00000198841;82;73;61;49;55;123;67;96;59;55
ENSG00000234204;0;0;0;0;0;0;0;0;0;0
ENSG00000233099;0;0;0;0;0;0;0;0;0;0
ENSG00000233994;1;1;0;0;0;2;0;0;3;4
ENSG00000233973;0;0;0;0;0;0;0;0;0;0
ENSG00000132854;5;14;0;3;5;9;6;92;3;22
ENSG00000227556;0;0;0;0;0;0;0;0;0;0
ENSG00000162607;356;310;364;264;307;635;355;378;492;488
ENSG00000285954;0;0;0;0;0;0;0;0;0;0
ENSG00000233333;0;0;0;0;0;0;0;0;0;0
ENSG00000154027;19;27;12;22;13;69;73;52;45;19
ENSG00000234108;0;0;0;0;0;0;0;0;0;0
ENSG00000232676;0;0;0;0;0;0;0;0;0;0
ENSG00000225167;0;0;0;0;0;0;0;0;0;0
ENSG00000213579;0;0;0;0;0;0;0;0;0;0
ENSG00000137960;1;3;1;3;1;1;8;4;2;0
ENSG00000237852;0;0;0;0;3;2;4;0;2;0
ENSG00000116745;0;0;1;0;0;0;0;2;1;1
ENSG00000132855;0;0;0;1;1;0;1;3;0;0
ENSG00000285407;0;0;0;0;0;0;0;0;0;0
ENSG00000270549;0;0;0;0;0;0;0;0;0;0
ENSG00000237163;0;0;0;0;0;0;0;0;0;0
ENSG00000229636;0;0;0;0;0;0;0;0;0;0
ENSG00000116675;21;18;15;15;29;86;62;41;43;21
ENSG00000162433;497;561;440;504;814;1544;1197;929;650;324
ENSG00000213625;4025;3863;3139;3034;3205;7510;2949;4417;4594;3536
ENSG00000227207;0;0;0;0;0;0;0;0;0;0
ENSG00000227016;0;1;0;0;0;0;0;0;0;0
ENSG00000233664;0;0;0;0;0;0;0;1;0;0
ENSG00000158966;744;893;372;448;214;635;1016;1048;720;493
ENSG00000213703;0;0;0;0;0;0;0;0;0;0
ENSG00000203965;121;138;110;83;74;229;109;167;140;100
ENSG00000223479;0;0;0;0;0;0;0;0;0;0
ENSG00000233674;0;0;0;0;0;0;0;0;0;0
ENSG00000153898;66;52;28;10;18;71;21;36;29;13
ENSG00000117069;3091;3048;2892;2964;2137;4779;2094;2385;3108;2719
ENSG00000125703;175;195;128;139;134;304;175;228;218;168
ENSG00000285041;0;0;0;0;0;0;0;0;0;0
ENSG00000285808;1;0;0;0;0;0;0;0;0;0
ENSG00000229440;0;0;0;0;0;0;0;0;0;0
ENSG00000234144;0;0;0;0;0;0;0;0;0;0
ENSG00000277670;0;0;0;0;0;0;0;0;0;0
ENSG00000227466;0;0;0;0;0;0;0;0;0;0
ENSG00000230498;8;6;3;6;2;20;20;9;4;3
ENSG00000285782;0;0;0;0;0;1;0;0;0;0
ENSG00000162618;438;548;141;273;221;1034;1702;1141;464;99
ENSG00000224493;0;0;0;0;0;0;0;0;0;0
ENSG00000131233;0;0;0;0;0;1;0;0;0;0
ENSG00000272371;1;0;0;0;0;0;0;0;1;0
ENSG00000287647;0;0;0;0;0;0;0;0;0;0
ENSG00000229225;0;0;0;0;0;0;0;0;0;0
ENSG00000225598;0;0;0;0;0;0;0;0;0;0
ENSG00000286455;0;0;0;0;0;0;0;0;0;0
ENSG00000225087;5;6;6;5;2;16;1;3;3;2
ENSG00000230053;0;0;0;0;0;0;0;0;0;0
ENSG00000137941;247;177;325;218;212;513;383;255;264;252
ENSG00000224326;0;0;0;0;0;0;0;0;0;0
ENSG00000286548;0;2;0;0;0;0;0;0;2;0
ENSG00000066135;370;330;292;304;308;692;415;406;373;427
ENSG00000272094;0;0;0;0;0;0;0;0;0;0
ENSG00000228853;0;0;0;0;0;0;0;0;0;0
ENSG00000232453;17;14;23;10;23;48;16;22;31;16
ENSG00000284895;0;0;0;0;0;0;0;0;0;0
ENSG00000117174;399;423;346;329;292;756;492;596;472;559
ENSG00000237413;0;1;0;1;1;1;1;0;1;2
ENSG00000184313;0;0;0;0;0;0;0;1;0;0
ENSG00000284645;0;0;0;0;0;0;0;0;0;0
ENSG00000225446;0;0;0;0;0;3;0;0;0;0
ENSG00000288543;27;25;19;20;11;58;28;19;11;21
ENSG00000122420;892;802;1217;1077;655;1633;624;1161;1162;1697
ENSG00000284240;0;0;0;1;0;1;0;0;0;1
ENSG00000236290;0;0;0;0;0;0;0;0;0;0
ENSG00000143013;2865;2902;2504;2313;1750;4344;1758;3378;3065;3405
ENSG00000226084;21;15;10;7;15;35;4;15;30;20
ENSG00000134748;270;273;184;190;222;486;334;338;307;269
ENSG00000142892;1070;1100;780;809;806;1874;937;1412;1264;1079
ENSG00000287743;0;0;0;0;0;0;0;0;0;0
ENSG00000229332;0;0;0;0;0;0;0;0;0;0
ENSG00000227937;0;0;0;0;0;0;0;0;0;0
ENSG00000229752;0;0;0;0;0;0;0;1;0;1
ENSG00000237505;3;2;1;1;3;2;3;2;0;1
ENSG00000285462;0;0;0;0;0;0;0;0;0;0
ENSG00000233216;1;0;0;0;0;0;0;0;0;0
ENSG00000197273;0;1;0;0;0;0;0;0;0;0
ENSG00000226804;0;0;0;0;0;0;0;0;0;0
ENSG00000230728;0;0;0;0;0;0;0;0;0;0
ENSG00000232846;0;0;0;0;0;0;0;0;0;0
ENSG00000230787;0;0;0;1;0;1;1;0;1;0
ENSG00000116641;901;812;908;898;879;2217;1322;1139;1115;1115
ENSG00000237453;0;0;0;0;0;0;0;0;0;0
ENSG00000172260;1219;1278;291;308;253;703;1837;2843;426;413
ENSG00000285473;0;0;0;0;0;0;0;0;0;0
ENSG00000237959;0;0;0;0;0;0;0;0;0;0
ENSG00000231364;0;0;0;0;0;0;0;0;0;0
ENSG00000234578;0;0;0;0;0;0;0;0;0;0
ENSG00000137944;450;479;226;237;326;845;160;281;301;214
ENSG00000229505;0;0;0;0;0;0;0;0;0;0
ENSG00000228187;0;0;0;0;0;0;0;0;1;0
ENSG00000182183;0;0;0;0;0;0;0;0;0;0
ENSG00000236407;0;0;0;0;0;0;0;0;0;0
ENSG00000271949;0;0;0;0;0;0;0;0;0;0
ENSG00000227062;0;0;0;0;0;0;0;0;0;0
ENSG00000067334;614;596;477;410;435;1135;704;775;691;633
ENSG00000235011;0;0;0;0;0;0;0;0;0;0
ENSG00000226938;0;0;0;0;0;0;0;0;0;0
ENSG00000213559;0;0;0;0;0;0;0;0;0;0
ENSG00000287587;0;0;0;0;0;0;0;0;0;1
ENSG00000142949;599;706;653;790;580;1363;4209;696;358;563
ENSG00000116133;1085;828;2260;2546;1115;2549;1002;491;2204;2006
ENSG00000232882;0;0;0;1;1;0;0;0;1;0
ENSG00000171502;30;20;20;21;12;43;36;55;22;14
ENSG00000116157;237;193;193;160;88;231;171;437;474;352
ENSG00000143036;11;8;17;28;22;38;10;18;19;34
ENSG00000230817;0;0;0;0;0;0;0;0;0;0
ENSG00000065243;793;793;506;534;457;1157;1031;1101;872;728
ENSG00000226759;0;0;0;0;0;0;0;0;0;0
ENSG00000226960;0;0;0;0;0;0;0;0;0;0
ENSG00000234080;0;0;0;0;0;0;0;0;0;0
ENSG00000237899;0;0;0;0;1;0;2;1;2;1
ENSG00000227290;0;0;0;0;0;1;0;0;2;0
ENSG00000282898;0;0;0;0;0;0;0;0;0;0
ENSG00000285409;0;0;0;0;0;0;0;0;0;0
ENSG00000231090;0;0;0;0;0;0;0;0;0;0
ENSG00000117528;946;853;703;642;730;1639;923;1082;907;1064
ENSG00000271723;0;0;0;0;0;0;0;0;0;0
ENSG00000172339;209;186;198;170;172;351;116;211;244;192
ENSG00000036549;779;716;621;571;614;1335;850;852;919;808
ENSG00000287724;0;0;0;0;0;0;0;0;0;0
ENSG00000225191;0;0;0;0;0;0;0;0;0;0
ENSG00000287870;1;0;0;0;0;0;1;0;0;0
ENSG00000232048;0;0;0;0;0;0;0;0;0;0
ENSG00000232857;0;0;0;0;0;0;0;0;0;0
ENSG00000273637;0;0;0;0;0;0;0;0;0;0
ENSG00000228838;0;0;0;0;0;0;0;0;0;0
ENSG00000283761;0;3;2;1;2;0;2;1;4;1
ENSG00000189433;0;0;0;0;0;0;0;0;0;0
ENSG00000230759;0;0;0;0;0;0;0;0;0;0
ENSG00000179178;0;0;0;0;0;0;0;0;0;0
ENSG00000142700;0;0;0;0;0;0;0;1;0;0
ENSG00000285525;0;0;0;1;0;0;0;0;0;0
ENSG00000236098;0;0;1;0;0;3;2;0;0;0
ENSG00000233514;0;0;0;0;0;0;0;1;0;0
ENSG00000127124;81;81;58;108;91;167;338;121;115;89
ENSG00000266993;0;0;1;0;0;3;7;1;0;0
ENSG00000223675;0;0;0;0;0;0;1;0;1;0
ENSG00000229316;0;0;0;0;0;0;0;0;0;0
ENSG00000287406;0;0;0;0;0;0;0;0;0;0
ENSG00000225767;0;0;0;0;0;0;0;0;0;0
ENSG00000234099;0;0;0;0;0;0;0;0;0;0
ENSG00000137936;573;683;498;623;661;1279;825;604;558;393
ENSG00000235308;0;0;0;1;0;2;1;0;0;0
ENSG00000232752;0;0;0;0;0;0;0;0;0;0
ENSG00000235829;0;0;0;0;0;0;0;0;0;0
ENSG00000143032;0;0;0;0;0;0;0;0;0;0
ENSG00000226745;0;0;0;0;0;1;0;0;0;0
ENSG00000280040;0;1;0;0;0;0;0;0;1;1
ENSG00000117519;6218;5467;5770;5381;6285;12921;4628;5815;5688;6511
ENSG00000270507;0;0;0;0;0;0;0;0;0;0
ENSG00000238037;0;0;0;0;0;0;0;0;0;0
ENSG00000134215;3;2;0;0;1;2;9;5;4;0
ENSG00000227935;0;2;0;0;0;0;0;1;0;0
ENSG00000228502;12;11;3;9;6;14;0;1;7;1
ENSG00000236268;0;0;0;0;0;0;0;0;0;0
ENSG00000271277;0;0;0;0;0;0;0;0;0;0
ENSG00000236888;0;0;0;0;0;0;0;0;0;0
ENSG00000279778;0;0;0;1;0;0;0;0;0;0
ENSG00000230828;0;0;0;0;0;0;0;0;0;0
ENSG00000188641;364;367;328;374;264;643;466;732;657;638
ENSG00000152078;10;10;15;9;3;18;11;13;10;11
ENSG00000233359;0;0;0;0;0;0;0;0;0;0
ENSG00000237954;0;0;0;0;0;0;0;0;0;0
ENSG00000171492;504;543;480;459;501;1148;868;1009;852;967
ENSG00000233129;0;0;0;0;0;0;0;0;0;0
ENSG00000170989;102;63;60;27;24;112;41;53;37;101
ENSG00000233557;0;0;0;0;0;0;0;0;0;0
ENSG00000237897;0;0;0;0;0;0;0;2;0;0
ENSG00000116299;75;61;51;71;83;165;57;53;58;66
ENSG00000137962;394;336;240;184;210;525;922;603;305;722
ENSG00000286692;0;0;0;0;0;0;0;0;0;0
ENSG00000260464;13;13;11;4;4;20;10;7;5;8
ENSG00000237435;0;0;0;0;0;0;0;0;0;0
ENSG00000231996;0;0;0;0;0;0;0;0;0;0
ENSG00000273204;3;1;1;0;1;4;2;2;0;0
ENSG00000079739;1338;1224;1038;1109;1103;2239;1416;1535;1441;1195
ENSG00000117154;0;0;0;0;0;0;0;0;0;0
ENSG00000162377;298;266;291;260;225;458;233;248;295;312
ENSG00000224613;3;4;0;0;1;1;2;5;0;1
ENSG00000215871;0;0;0;0;0;0;0;0;0;0
ENSG00000287372;0;0;0;0;0;0;0;0;0;0
ENSG00000232542;0;0;0;0;0;0;0;0;0;0
ENSG00000116774;2156;1871;4897;3805;1570;4916;1260;3606;4488;3954
ENSG00000287756;0;0;0;0;0;0;0;0;0;0
ENSG00000284652;3;0;4;1;2;2;2;0;1;2
ENSG00000023909;1700;1665;1417;1351;1352;2641;995;2292;2026;2182
ENSG00000069702;425;318;307;262;126;555;247;290;247;352
ENSG00000232185;0;0;0;0;0;0;0;0;0;0
ENSG00000228399;0;0;0;0;0;0;0;0;0;0
ENSG00000236776;0;2;0;0;0;0;0;0;0;0
ENSG00000224685;0;0;0;0;0;0;0;0;0;0
ENSG00000287076;0;0;0;0;0;0;0;0;0;0
ENSG00000237480;0;0;0;0;0;0;0;0;0;0
ENSG00000271252;0;0;0;0;0;0;0;0;0;0
ENSG00000230427;0;1;0;0;1;0;0;0;0;1
ENSG00000235794;0;0;0;0;0;0;0;0;0;0
ENSG00000286758;0;0;0;0;0;0;0;0;0;0
ENSG00000237337;0;0;0;0;0;0;0;0;0;0
ENSG00000233983;0;0;0;0;0;0;0;0;0;0
ENSG00000198198;192;187;171;148;157;329;468;162;82;176
ENSG00000230402;0;0;0;0;0;0;0;0;0;0
ENSG00000116793;452;384;427;384;364;846;636;596;670;564
ENSG00000232918;0;0;0;0;0;0;0;0;0;0
ENSG00000183298;0;1;0;0;1;0;0;0;0;0
ENSG00000234332;0;1;0;0;0;0;0;0;0;0
ENSG00000117525;1497;883;1118;700;676;2079;2570;929;725;1489
ENSG00000225079;0;0;0;0;0;0;0;0;0;0
ENSG00000224238;0;1;0;0;0;3;0;0;0;1
ENSG00000229537;0;0;0;0;0;0;0;0;0;0
ENSG00000162699;0;0;0;0;0;0;0;0;0;0
ENSG00000162692;370;236;132;84;111;294;1314;99;371;1819
ENSG00000203914;1;0;1;2;0;0;1;2;0;0
ENSG00000270457;0;0;0;0;0;2;0;1;0;2
ENSG00000203858;0;0;0;0;0;0;0;0;0;0
ENSG00000231987;0;0;0;0;0;0;0;0;0;0
ENSG00000228057;1;2;4;1;6;3;7;8;1;1
ENSG00000224445;0;0;0;0;0;0;0;0;0;0
ENSG00000229842;0;0;0;0;0;0;0;0;0;0
ENSG00000270631;0;0;0;0;0;0;0;0;0;0
