Geneid;B1;S1;B2;S2;B3;S3;B4;S4;B6;S6;B7;S7
ENSG00000189337;375;368;201;279;197;212;255;376;317;193;269;233
ENSG00000225478;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000028137;12;7;11;11;13;22;2;11;4;7;4;25
ENSG00000204464;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000283259;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000130939;1159;893;794;897;772;1004;879;1426;944;876;1107;1060
ENSG00000175147;0;8;0;0;0;0;0;0;0;0;0;0
ENSG00000127472;2;0;1;0;0;0;0;0;0;1;0;0
ENSG00000060656;424;419;536;578;390;511;416;720;229;847;711;252
ENSG00000163867;78;113;84;84;76;122;76;152;83;68;43;80
ENSG00000230214;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000189280;2;38;0;0;0;1;0;0;0;0;0;1
ENSG00000134698;136;174;194;129;91;132;114;213;175;146;110;129
ENSG00000272420;0;2;0;0;1;0;0;4;1;0;1;0
ENSG00000132881;35;45;31;31;36;38;17;54;63;57;48;33
ENSG00000273274;1;0;2;0;0;0;1;0;0;0;0;1
ENSG00000236648;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232273;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000009709;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000287396;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000130940;19;66;8;12;17;16;22;21;48;4;41;21
ENSG00000163879;51;9;56;30;54;73;41;59;15;38;18;43
ENSG00000227527;2;2;6;0;1;0;2;1;0;1;0;1
ENSG00000116954;152;180;131;136;115;219;188;320;223;201;142;171
ENSG00000228589;3;3;1;1;5;5;5;8;11;4;4;3
ENSG00000163873;0;0;0;0;0;0;0;1;0;0;0;0
ENSG00000117215;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000230163;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000227538;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000044012;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000179051;1935;1632;1239;1541;1122;1572;1513;2374;1450;1274;2167;1753
ENSG00000215895;0;0;3;1;1;0;0;2;0;0;0;0
ENSG00000284650;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000236948;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000126067;1469;1403;946;1170;1062;1832;1500;2084;1570;952;1301;1653
ENSG00000274944;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000272078;1;5;2;0;4;4;4;3;7;2;15;3
ENSG00000230451;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000231606;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000284632;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000054118;2279;1461;1665;1701;1332;2008;1724;2500;1861;1312;1800;2122
ENSG00000254553;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000284653;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000237749;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000276747;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000284705;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000228776;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000159339;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000261781;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000284743;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000158315;8;6;3;7;10;19;2;10;11;5;7;5
ENSG00000186973;3;0;0;8;0;1;0;3;0;0;1;1
ENSG00000146463;940;610;782;760;721;1090;701;1206;703;750;622;879
ENSG00000271741;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000142686;260;221;131;156;204;210;248;371;227;197;236;184
ENSG00000224751;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000117148;0;0;0;0;0;1;0;2;0;0;0;3
ENSG00000230585;0;0;0;1;1;1;0;0;2;0;0;0
ENSG00000117000;300;252;243;273;216;354;230;368;271;213;175;235
ENSG00000284989;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000231630;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000092853;404;233;61;160;194;197;290;445;157;71;297;238
ENSG00000255811;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000134697;739;626;518;562;514;786;655;1178;666;444;723;651
ENSG00000187513;0;0;0;0;0;0;0;0;0;0;0;1
ENSG00000230138;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000223390;0;0;1;0;0;1;0;0;2;3;2;0
ENSG00000284720;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000225671;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000116151;56;43;54;39;30;57;39;68;26;35;31;20
ENSG00000006555;0;7;0;0;0;0;0;0;0;0;0;0
ENSG00000236111;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000066056;7;7;3;2;3;8;6;2;6;0;19;58
ENSG00000214114;126;115;80;90;110;155;147;223;117;78;100;86
ENSG00000116544;2;1;0;0;5;2;2;2;0;0;0;2
ENSG00000231900;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000236723;0;0;7;4;0;0;1;0;0;0;2;0
ENSG00000232467;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000117016;6;33;5;5;3;5;3;2;14;8;7;12
ENSG00000169213;1630;1640;564;876;560;699;778;1245;1934;735;1426;2307
ENSG00000163866;392;333;337;269;285;489;324;586;349;280;439;434
ENSG00000237130;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232335;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000260971;0;0;0;3;0;0;0;0;0;0;0;0
ENSG00000284696;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000238242;0;0;0;1;0;0;0;0;0;0;0;0
ENSG00000285839;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232762;0;0;0;0;1;0;0;0;0;0;0;0
ENSG00000162384;212;139;259;233;274;364;256;407;242;232;244;215
ENSG00000162391;0;3;2;0;0;0;0;2;0;2;0;0
ENSG00000117859;851;728;871;824;817;1302;657;1203;754;695;783;656
ENSG00000228121;0;0;0;0;0;1;0;0;0;0;0;0
ENSG00000253313;0;14;0;0;0;0;0;0;0;0;1;0
ENSG00000162396;45;32;36;44;56;79;47;74;38;46;62;49
ENSG00000284686;2;0;0;0;2;0;0;6;0;0;0;0
ENSG00000162378;586;458;470;523;388;724;547;868;758;606;447;692
ENSG00000233079;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000259818;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229444;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000240563;0;5;0;0;0;0;0;0;0;0;0;0
ENSG00000234318;1;0;1;1;0;0;0;0;0;0;0;0
ENSG00000284773;0;3;5;0;2;1;5;3;2;6;1;3
ENSG00000234481;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000117862;89;88;91;122;111;158;100;138;108;127;109;112
ENSG00000235612;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000228369;0;2;0;0;1;0;0;0;1;0;0;0
ENSG00000227485;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000224609;0;2;4;0;1;3;4;12;0;0;1;0
ENSG00000235545;0;0;0;3;0;0;5;3;9;1;1;2
ENSG00000236646;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232198;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000238063;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000227104;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000243725;5;3;5;4;6;8;6;5;6;0;5;7
ENSG00000171872;0;0;0;0;0;2;0;0;0;0;2;0
ENSG00000162407;304;174;529;505;518;587;151;504;190;311;104;52
ENSG00000285079;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000163877;183;163;143;220;166;230;174;237;230;160;172;192
ENSG00000228929;0;1;2;5;1;5;3;7;0;0;0;2
ENSG00000224570;0;0;0;0;0;0;0;2;0;0;0;1
ENSG00000224980;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000278967;0;0;1;0;0;0;0;0;0;0;0;0
ENSG00000157184;85;51;86;43;72;85;62;149;72;60;79;87
ENSG00000198815;622;467;453;500;393;639;453;682;505;479;456;588
ENSG00000134744;317;288;362;322;280;403;289;488;257;270;217;288
ENSG00000233910;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000287703;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000283039;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229032;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229294;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000234088;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000236973;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000277397;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000235446;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000162385;358;215;256;276;248;423;328;436;216;176;277;310
ENSG00000234264;1;0;1;0;0;5;0;1;2;0;0;0
ENSG00000223883;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000237227;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000275350;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000116652;0;1;4;4;1;0;3;2;0;0;0;0
ENSG00000123080;183;109;58;93;122;186;166;210;101;49;236;147
ENSG00000285778;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233407;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000225675;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000237622;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000162598;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000280317;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000162415;0;2;1;0;0;2;0;0;0;0;0;3
ENSG00000162600;53;56;63;41;35;62;42;60;58;39;34;47
ENSG00000116704;339;275;345;348;220;398;366;614;468;476;348;484
ENSG00000157193;259;232;88;117;117;141;163;264;209;60;180;162
ENSG00000116205;139;119;90;121;93;124;108;164;110;102;123;112
ENSG00000198841;49;39;16;27;29;44;44;60;36;45;45;47
ENSG00000234204;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233099;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233994;0;1;1;0;0;2;0;2;0;0;1;1
ENSG00000233973;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000132854;1;80;3;0;0;1;0;0;0;2;0;0
ENSG00000227556;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000162607;626;438;231;368;327;467;454;694;439;220;354;535
ENSG00000285954;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233333;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000154027;49;25;8;8;22;36;48;73;21;25;39;41
ENSG00000234108;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232676;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000225167;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000213579;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000137960;0;7;1;0;2;6;1;12;8;3;1;2
ENSG00000237852;1;0;0;0;0;0;2;0;0;0;0;0
ENSG00000116745;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000132855;0;2;0;3;0;0;0;0;0;0;0;2
ENSG00000285407;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000270549;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000237163;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229636;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000116675;49;51;6;14;7;10;36;46;67;6;47;20
ENSG00000162433;164;185;113;169;127;231;140;194;401;218;178;130
ENSG00000213625;887;879;876;958;715;1142;859;1430;1059;1038;762;785
ENSG00000227207;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000227016;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233664;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000158966;194;190;219;245;151;244;182;331;178;330;164;200
ENSG00000213703;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000203965;32;24;24;36;22;66;31;43;20;42;16;28
ENSG00000223479;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233674;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000153898;7;4;7;1;2;11;13;11;2;2;1;3
ENSG00000117069;1698;1740;1626;1954;1312;1877;1317;2829;2086;2500;2189;1691
ENSG00000125703;100;57;77;65;84;96;85;152;83;49;40;103
ENSG00000285041;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000285808;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229440;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000234144;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000277670;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000227466;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000230498;7;8;7;11;2;6;3;6;2;2;5;10
ENSG00000285782;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000162618;267;162;162;200;105;173;435;676;223;182;100;96
ENSG00000224493;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000131233;0;0;0;0;0;0;0;1;0;0;0;0
ENSG00000272371;0;0;0;0;0;0;0;0;0;0;0;1
ENSG00000287647;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229225;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000225598;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000286455;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000225087;0;2;0;1;0;0;0;4;2;5;0;0
ENSG00000230053;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000137941;448;317;297;300;188;272;348;499;262;277;193;225
ENSG00000224326;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000286548;2;0;0;0;0;0;0;0;0;0;0;0
ENSG00000066135;380;293;382;442;283;406;326;556;301;408;377;396
ENSG00000272094;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000228853;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232453;8;5;2;4;3;4;3;11;5;6;5;0
ENSG00000284895;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000117174;373;242;307;267;280;405;323;495;384;268;247;389
ENSG00000237413;0;0;0;0;0;1;0;0;0;0;0;0
ENSG00000184313;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000284645;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000225446;0;0;1;0;0;1;0;3;0;0;0;2
ENSG00000288543;8;5;12;10;3;2;6;15;12;12;7;10
ENSG00000122420;269;103;592;337;262;484;101;96;280;296;82;162
ENSG00000284240;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000236290;0;0;2;0;0;0;0;0;0;0;0;0
ENSG00000143013;1797;1598;1985;2605;1962;2814;1558;3382;1038;2037;1784;1405
ENSG00000226084;5;7;10;10;6;12;11;20;16;17;4;16
ENSG00000134748;378;228;245;248;223;406;258;420;244;180;243;273
ENSG00000142892;440;305;375;391;420;791;455;678;387;421;234;493
ENSG00000287743;0;0;0;0;0;0;4;0;0;0;0;0
ENSG00000229332;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000227937;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229752;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000237505;1;0;3;1;1;4;0;7;1;0;0;4
ENSG00000285462;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233216;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000197273;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000226804;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000230728;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232846;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000230787;0;0;0;0;0;0;0;0;1;0;0;0
ENSG00000116641;1176;978;737;965;832;1136;1192;1952;1385;922;874;1500
ENSG00000237453;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000172260;1033;1006;1185;1893;1303;1591;1294;2206;1310;809;859;1038
ENSG00000285473;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000237959;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000231364;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000234578;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000137944;212;172;174;185;98;182;220;342;120;122;88;139
ENSG00000229505;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000228187;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000182183;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000236407;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000271949;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000227062;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000067334;664;612;389;433;472;618;629;940;629;411;379;573
ENSG00000235011;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000226938;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000213559;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000287587;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000142949;6621;5773;6926;7700;5312;6342;5480;9012;4872;6198;10821;7830
ENSG00000116133;2032;1672;1379;833;1162;2030;1548;1981;1759;782;2510;3017
ENSG00000232882;1;0;2;2;5;0;0;0;0;0;0;1
ENSG00000171502;8;1;4;3;1;6;2;8;4;1;2;4
ENSG00000116157;175;176;75;115;71;113;86;168;208;251;183;118
ENSG00000143036;9;13;3;2;5;8;2;7;4;8;2;2
ENSG00000230817;2;0;0;0;0;0;0;0;0;1;0;0
ENSG00000065243;611;525;511;494;445;715;550;823;649;474;339;643
ENSG00000226759;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000226960;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000234080;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000237899;0;1;1;1;1;0;0;1;1;0;0;0
ENSG00000227290;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000282898;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000285409;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000231090;0;0;0;0;0;0;0;0;3;0;0;0
ENSG00000117528;517;453;359;459;426;608;527;848;428;440;301;479
ENSG00000271723;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000172339;77;92;57;93;70;151;80;151;102;76;68;96
ENSG00000036549;567;384;402;444;358;602;432;695;500;446;380;535
ENSG00000287724;0;0;0;0;0;0;0;0;0;2;0;0
ENSG00000225191;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000287870;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232048;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232857;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000273637;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000228838;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000283761;4;0;1;0;0;3;0;0;1;0;1;0
ENSG00000189433;0;6;0;0;0;0;0;0;0;0;0;0
ENSG00000230759;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000179178;0;10;0;0;0;3;0;1;0;0;4;0
ENSG00000142700;0;1;0;0;0;0;0;0;0;0;0;0
ENSG00000285525;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000236098;0;0;0;0;0;0;2;0;0;0;0;0
ENSG00000233514;0;0;0;0;0;0;0;2;0;0;0;0
ENSG00000127124;428;241;280;271;255;335;276;389;217;254;382;183
ENSG00000266993;2;2;3;1;3;0;2;7;0;0;0;4
ENSG00000223675;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229316;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000287406;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000225767;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000234099;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000137936;1125;940;490;771;715;931;1031;1481;762;524;1318;892
ENSG00000235308;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000232752;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000235829;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000143032;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000226745;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000280040;0;1;0;0;0;1;3;0;0;0;0;0
ENSG00000117519;3214;3122;2870;2985;3240;5661;4350;7060;3930;3510;2906;4248
ENSG00000270507;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000238037;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000134215;1;7;0;0;0;0;1;1;2;5;2;3
ENSG00000227935;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000228502;3;1;1;3;2;3;2;1;0;2;1;1
ENSG00000236268;0;0;0;0;0;0;1;0;0;0;0;0
ENSG00000271277;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000236888;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000279778;0;0;0;1;0;0;0;1;0;2;0;0
ENSG00000230828;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000188641;434;209;211;143;266;368;267;412;235;103;200;422
ENSG00000152078;18;14;23;24;10;30;11;38;16;15;7;21
ENSG00000233359;0;0;0;0;0;0;0;0;0;0;0;0
